employee_id,competency_id
E10001,SKLVET22
E10002,SKLVET23
E10003,SKLVET58
E10004,SKLVET60
E10005,SKLBF72
E10006,SKLMIN18
E10007,SKLENG45
E10008,SKLENG46
E10009,SKLERG20
E10010,SKLERG21
E10011,SKLERG25
E10012,SKLERG26
E10013,SKLVET68
E10014,SKLVET16
E10015,SKLVET17
E10016,SKLVET18
E10017,SKLVET21
E10018,SKLVET25
E10019,SKLVET26
E10020,SKLVET27
E10021,SKLVET31
E10022,SKLVET34
E10023,SKLVET40
E10024,SKLVET36
E10025,SKLVET37
E10026,SKLVET38
E10027,SKLVET39
E10028,SKLVET48
E10029,SKLVET59
E10030,SKLVET61
E10031,SKLVET62
E10032,SKLBF75
E10033,SKLBF78
E10034,SKLBF81
E10035,SKLMIN19
E10036,SKLENG43
E10037,SKLERG18
E10038,SKLERG22
E10039,SKLERG23
E10040,SKLERG24
E10041,SKLERG01
E10042,SKLERG03
E10043,SKLVET42
E10044,SKLVET43
E10045,SKLVET44
E10046,SKLVET45
E10047,SKLVET54
E10048,SKLERG04
E10049,SKLERG05
E10050,SKLERG06
E10051,SKLERG07
E10052,SKLERG08
E10053,SKLERG09
E10054,SKLERG10
E10055,SKLERG11
E10056,SKLERG12
E10057,SKLERG13
E10058,SKLERG14
E10059,SKLERG15
E10060,SKLMIN10
E10061,SKLMIN11
E10062,SKLMIN12
E10063,SKLVET14
E10064,SKLVET15
E10065,SKLVET19
E10066,SKLVET20
E10067,SKLVET24
E10068,SKLVET29
E10069,SKLVET30
E10070,SKLVET33
E10071,SKLVET35
E10072,SKLVET41
E10073,SKLVET46
E10074,SKLVET49
E10075,SKLVET50
E10076,SKLIT335
E10077,SKLIT345
E10078,SKLVET71
E10079,SKLMIN21
E10080,SKLMIN22
E10081,SKLVET72
E10082,SKLVET73
E10083,SKLPP01
E10084,SKLPP02
E10085,SKLPP04
E10086,SKLVET03
E10087,SKLVET04
E10088,SKLVET05
E10089,CAP001
E10090,SKLVET47
E10091,SKLVET51
E10092,SKLVET52
E10093,SKLVET53
E10094,SKLVET55
E10095,SKLVET56
E10096,SKLVET57
E10097,SKLVET63
E10098,SKLVET64
E10099,SKLVET65
E10100,SKLVET66
E10101,SKLMIN01
E10102,SKLMIN02
E10103,SKLMIN03
E10104,SKLMIN04
E10105,SKLMIN05
E10106,SKLMIN06
E10107,SKLVET67
E10108,SKLMIN07
E10109,SKLMIN08
E10110,SKLMIN09
E10111,SKLMIN13
E10112,SKLMIN14
E10113,SKLMIN15
E10114,SKLVET69
E10115,SKLMIN16
E10116,SKLMIN17
E10117,SKLIT302
E10118,SKLIT304
E10119,SKLMIN20
E10120,SKLVET70
E10121,SKLVET08
E10122,SKLVET09
E10123,SKLVET10
E10124,SKLVET11
E10125,CAP002
E10126,CAP004
E10127,CAP005
E10128,CAP006
E10129,CAP007
E10130,CAP008
E10131,CAP009
E10132,CAP010
E10133,CAP011
E10134,CAP050
E10135,CAP022
E10136,CAP012
E10137,CAP013
E10138,CAP014
E10139,CAP015
E10140,CAP021
E10141,CAP016
E10142,CAP017
E10143,CAP019
E10144,CAP023
E10145,CAP025
E10146,CAP026
E10147,MTT000006
E10148,CAP027
E10149,CAP028
E10150,CAP029
E10151,CAP030
E10152,CAP031
E10153,CAP043
E10154,CAP037
E10155,CAP032
E10156,CAP033
E10157,CAP041
E10158,CAP034
E10159,CAP035
E10160,MTT000007
E10161,CAP038
E10162,CAP039
E10163,CAP040
E10164,CAP042
E10165,CAP044
E10166,CAP046
E10167,CAP049
E10168,MTT000008
E10169,CAP051
E10170,MTT000003
E10171,CAP052
E10172,CAP053
E10173,CAP054
E10174,CAP055
E10175,CAP057
E10176,CAP058
E10177,CAP059
E10178,CAP060
E10179,CAP061
E10180,CAP062
E10181,CAP063
E10182,CAP064
E10183,CAP065
E10184,CAP066
E10185,CAP067
E10186,CAP068
E10187,CAP069
E10188,CAP078
E10189,CAP070
E10190,CAP071
E10191,CAP073
E10192,CAP075
E10193,CAP076
E10194,CAP077
E10195,CAP079
E10196,CAP080
E10197,CAP086
E10198,CAP081
E10199,CAP082
E10200,CAP111
E10201,CAP083
E10202,CAP084
E10203,CAP117
E10204,CAP087
E10205,CAP088
E10206,CAP089
E10207,CAP090
E10208,CAP091
E10209,CAP092
E10210,CAP094
E10211,CAP095
E10212,CAP096
E10213,CAP098
E10214,CAP099
E10215,CAP100
E10216,CAP101
E10217,CAP102
E10218,CAP119
E10219,CAP103
E10220,CAP105
E10221,CAP106
E10222,CAP107
E10223,CAP108
E10224,CAP110
E10225,CAP112
E10226,CAP113
E10227,CAP114
E10228,CAP115
E10229,MTT000009
E10230,CAP118
E10231,CAP120
E10232,CAP121
E10233,CAP122
E10234,CAP123
E10235,CAP124
E10236,CAP125
E10237,CAP126
E10238,CAP128
E10239,MTT000010
E10240,CAP129
E10241,CAP130
E10242,CAP131
E10243,CAP132
E10244,CAP133
E10245,CAP134
E10246,CAP135
E10247,CAP136
E10248,CAP137
E10249,CAP138
E10250,CAP139
E10251,CAP140
E10252,CAP141
E10253,CAP142
E10254,CAP143
E10255,CAP145
E10256,CAP146
E10257,CAP152
E10258,CAP153
E10259,CAP159
E10260,CAP165
E10261,CAP160
E10262,CAP161
E10263,CAP162
E10264,CAP163
E10265,CAP164
E10266,CAP166
E10267,CAP168
E10268,JJTAL01
E10269,JJTAL02
E10270,MTT000001
E10271,MTT000002
E10272,MTT000004
E10273,MTT000005
E10274,MTT000011
E10275,MTT000012
E10276,MTT000013
E10277,MTT000014
E10278,MTT000015
E10279,MTT000016
E10280,MTT000017
E10281,MTT000018
E10282,MTT000020
E10283,MTT000021
E10284,MTT000023
E10285,MTT000024
E10286,MTT000025
E10287,MTT000026
E10288,MTT000027
E10289,MTT000028
E10290,MTT000030
E10291,MTT000031
E10292,MTT000032
E10293,MTT000033
E10294,MTT000034
E10295,MTT000035
