job_profile_id,competency_id,competency_name,competency_level
10020001,SKLIT227,Compliance and Controls,2
10020001,CAP023,Communicating Effectively,2
10020001,CAP076,Numerically Savvy,1
10020001,CAP045,Execution Focus,1
10020001,SKLFA29,Financial Reporting,2
10020001,SKLAC07,Auditing,2
10020001,SKLFA23,Financial Analysis,2
10020001,SKLBF60,Financial Management,1
10020001,SKLFA28,Financial Record Keeping,2
10020001,SKLFA01,Accounting,2
10020001,SKLFA30,Financial Risk Management,2
10020001,SKLFA21,Finance and Accounting Policies and Procedures,2
10020001,CAP039,Detail Attentive,2
10020001,CAP062,Issue Resolution/Escalation,2
10020001,SKLFA33,General Accepted Accounting Principles (GAAP),2
10020001,CAP010,Analytical Reasoning,2
10020001,SKLFA08,Budgeting,2
10020001,SKLFA44,Strategic Cost Management,2
10020001,CAP015,Business Behavior,1
10020003,SKLGEN23,Corporate Writing,2
10020003,SKLOM06,Document and Records Management,2
10020003,SKLGEN33,Presentation Development,2
10020003,CAP045,Execution Focus,1
10020003,CAP122,Work Ethic,1
10020003,SKLOM04,Data Capturing,2
10020003,SKLOM29,Typing,2
10020003,SKLOM17,Microsoft Office,2
10020003,CAP015,Business Behavior,1
10020003,CAP078,Organizational Knowledge,2
10020003,SKLOM18,Office Administration,2
10020003,CAP035,Customer Centricity,2
10020003,SKLOM28,Travel Planning,2
10020003,CAP023,Communicating Effectively,1
10020003,SKLGEN47,Administrative Support,2
10020003,CAP088,Process Oriented,2
10020003,CAP111,Teamwork,2
10020005,CAP023,Communicating Effectively,1
10020005,SKLCS08,Customer Intelligence,2
10020005,SKLMKT06,Brand Recognition and Loyalty,2
10020005,SKLMKT05,Brand Identity,2
10020005,SKLMKT13,Content Marketing,2
10020005,SKLMKT34,Marketing Strategy and Positioning,2
10020005,CAP015,Business Behavior,1
10020005,SKLCA10,Copywriting and Editing,2
10020005,CAP066,Leverages Information,2
10020005,SKLMKT67,Marketing Campaign Management,2
10020005,SKLLEAD15,Public Relations,1
10020005,SKLMKT01,Advertising,2
10020005,SKLGEN09,Data Gathering and Reporting,2
10020005,SKLFA23,Financial Analysis,2
10020005,CAP045,Execution Focus,2
10020005,CAP095,Researching,1
10020005,SKLMKT36,Marketing Trends,2
10020005,SKLGEN05,Data Analysis,2
10020005,SKLMKT39,Promotions,2
10020005,SKLMKT04,Brand / Reputation Management,2
10020005,CAP126,Creative Mindset,1
10020007,CAP045,Execution Focus,1
10020007,SKLFA28,Financial Record Keeping,2
10020007,CAP088,Process Oriented,2
10020007,SKLFA23,Financial Analysis,2
10020007,SKLFA29,Financial Reporting,2
10020007,SKLFA03,Accounts Receivable,2
10020007,SKLGEN45,Process Optimization,2
10020007,SKLFA01,Accounting,2
10020007,CAP023,Communicating Effectively,2
10020007,CAP039,Detail Attentive,2
10020007,CAP076,Numerically Savvy,1
10020007,CAP010,Analytical Reasoning,2
10020007,SKLFA30,Financial Risk Management,2
10020007,CAP015,Business Behavior,1
10020007,SKLAC07,Auditing,2
10020007,SKLFA37,Multi-Currency Accounting,2
10020007,SKLFA02,Accounts Payable,2
10020009,SKLMKT40,Sales & Marketing,2
10020009,CAP013,Building Relationships,2
10020009,CAP035,Customer Centricity,1
10020009,CAP021,Collaborating,2
10020009,SKLSLS02,Business Development,2
10020009,SKLCS02,Business Intelligence,2
10020009,SKLGEN02,Competitive Landscape,2
10020009,CAP111,Teamwork,2
10020009,SKLGEN14,Data Visualization,2
10020009,SKLCA03,Alliance Development,2
10020009,SKLLEAD17,Strategic Reinvention,2
10020009,SKLRD12,Product Strategy,2
10020009,SKLCS08,Customer Intelligence,2
10020009,CAP003,Achieving,2
10020009,CAP015,Business Behavior,1
10020009,CAP045,Execution Focus,1
10020009,SKLRD04,Market Research,2
10020011,SKLGEN08,Data Gathering and Analysis,2
10020011,SKLCA03,Alliance Development,2
10020011,SKLGEN44,Cross-Functional Collaboration,2
10020011,SKLLEAD17,Strategic Reinvention,2
10020011,CAP045,Execution Focus,1
10020011,SKLRD04,Market Research,2
10020011,SKLPM12,Project Scheduling,2
10020011,SKLPM17,Project Support,1
10020011,CAP010,Analytical Reasoning,2
10020011,CAP058,Innovation,2
