competency_id,competency_name,competency_type,description
SKLVET22,Equine General Practice,Skill,"Provides various specialized services (e.g., preventative care, examinations, diagnostics, routine surgeries, non-routine surgeries, dental services, end-of-life care, and euthanasia) specific to horses as patients."
SKLVET23,Equine Lameness,Skill,"Diagnoses and treats abnormalities in a horse's gait or stance. Establishes whether the cause is pain, a mechanical problem, or a neurological condition. Treats the horse accordingly."
SKLVET58,Veterinary Orthopedic Surgery,Skill,"Examines animals to prevent, diagnose, and/or treat disorders of the bones, joints, muscles, ligaments, and tendons."
SKLVET60,Veterinary Parasitology,Skill,Studies animal parasites and the relationship between parasites and their animal hosts.
SKLBF72,Trading Platforms,Skill,"Designs, configures, and manages the software that is used for trading, or the opening, closing, and management of market positions through a financial intermediary such as a broker."
SKLMIN18,Crane Inspections and Preventive Maintenance,Skill,Regularly performs inspections and preventive maintenance activities to help identify and mitigate risks associated with crane use and support compliance.
SKLENG45,Oscilloscope,Skill,Uses an electronic test instrument that graphically displays different voltages over time.
SKLENG46,Product Data Management (PDM),Skill,"Uses a Product Data Management (PDM) system to collaborate, organize, generate Bills of Materials, track revisions, manage, and publish information on product data."
SKLERG20,Fluid Mechanics,Skill,"Studies the behavior of fluid whether at rest or in motion. Applies this information in various mechanical or chemical engineering practices, biological systems or astrophysics."
SKLERG21,Power Engineering,Skill,"Designs, creates and tests new systems to generate and distribute electricity, as well as electrical devices that are used in these systems."
SKLERG25,Environmental Economics,Skill,Studies the theoretical or empirical effects of environmental policies on the economy.
SKLERG26,Energy Economics,Skill,"Studies the basic economic issues of assigning energy resources using economic principles, tools and business models. Studies human utilization of energy resources and commodities and the consequences of that use."
SKLVET68,Veterinary Virology,Skill,"Studies veterinary viruses and virus-like agents, including their taxonomy, disease-producing properties, cultivation, and genetics."
SKLVET16,Animal Behavior,Skill,Studies the way animals interact with other organisms and the environment.
SKLVET17,Avian Medicine,Skill,"Diagnoses, manages, and cares for sick birds."
SKLVET18,Canine General Practice,Skill,"Provides a large variety of specialized services specific to dogs as patients (e.g., preventative care, examinations, diagnostics, routine surgeries, non-routine surgeries, dental services, end-of-life care, and euthanasia)."
SKLVET21,Equine Diagnostic Imaging,Skill,"Produces images of the internal body structures of horses or other members of the horse family for clinical purposes. Understands diagnostic imaging techniques, processes, and procedures."
SKLVET25,Food Animal Medicine,Skill,"Applies knowledge and a wide array of skills to help protect the health and welfare of animals that produce food (e.g., eggs, milk, and meat), wool, and other fiber products. Utilizes this in the endeavor to optimize animal health and welfare, production,"
SKLVET26,Laboratory Animal Medicine,Skill,Applies knowledge and a wide array of skills to optimize the health and welfare of animals that are used in research.
SKLVET27,Point of Care Testing (POCT),Skill,Conducts a test using a device or test kit in the presence of the patient without the need to send the sample away.
SKLVET31,Veterinary Acupuncture,Skill,Treats conditions or symptoms by inserting fine needles into specific predetermined points on the body of animals.
SKLVET34,Veterinary Analgesia,Skill,"Administers analgesics to animals to relieve pain and discomfort without their loss of consciousness or sensation. Chooses appropriate drugs, doses, and procedures. Establishes the degree of pain. Considers the patient's health status and other contributi"
SKLVET40,Veterinary Cystocentesis,Skill,Gathers a sample of animal urine by inserting a needle into the bladder through the abdominal wall.
SKLVET36,Veterinary Cardiology,Skill,Applies previously acquired knowledge to study and identify heart abnormalities. Finds and administers treatment.
SKLVET37,Veterinary Central Line Placement,Skill,Places a tiny tube in a vein to either administer long-term drug therapy or conduct kidney dialysis.
SKLVET38,Veterinary Chiropractics,Skill,Manipulates the spines of animals to provide relief for injuries. Provides manual therapy for animals.
SKLVET39,Veterinary Clinical Pathology,Skill,"Diagnoses and monitors animal diseases by examining blood, bodily fluids, secretions, and biopsy specimens."
SKLVET48,Veterinary Hospice Care,Skill,"Cares for animal patients without the intent to cure them. Ensures animals are as comfortable as possible during the remainder of their lives, as the side effects of treatment are likely to outweigh the benefits."
SKLVET59,Veterinary Pain Management,Skill,"Treats animal patients to alleviate pain, improve patient outcomes, and enhance the quality of life."
SKLVET61,Veterinary Pathology,Skill,Studies diseases in animals through the examination of animal tissue and body fluids.
SKLVET62,Veterinary Pharmacology,Skill,"Studies drugs (e.g., sources, nature, and properties) and how animals respond to the drugs."
SKLBF75,Trading Permits,Skill,Manages the issuance of permits to grant access that is required under the law for brokers or trading firms to conduct trades on various platforms. Communicates with brokers to renew licenses as determined by the relevant regulatory body and ensures that 
SKLBF78,Catastrophe Modeling,Skill,"Uses computer-assisted calculations to estimate the losses that could be sustained due to a catastrophic event, which may include things such as natural disasters (earthquakes, hurricanes, and the like) or man-made disasters (terrorism, pandemics, cyber i"
SKLBF81,Safekeeping,Skill,Stores valuable items or assets in a protected area.
SKLMIN19,Crane Operations Trends,Skill,"Keeps abreast of local and international trends, developments, and technologies regarding crane operations. Understands the impact of these on the organization. Incorporates relevant trends to ensure the organizationâs relevance and competitiveness."
SKLENG43,Document-centric Engineering,Skill,Designs and engineers products based off a variety of documents.
SKLERG18,Climate Risk Management,Skill,"Conducts climate risk assessments to establish the impact of climate change, forecast and project climate changes, prevent and manage risks, define risk management solutions, and use the information for decision making."
SKLERG22,Thermodynamics,Skill,Studies the relationship between heat and other forms of energy and the impact of this on physical systems and products.
SKLERG23,Hydraulic Engineering,Skill,"Designs, creates and tests systems to deal with the flow, conveyancing, collection, storage, control, transport, measurement, regulation, and use of fluids (mainly water and sewage)."
SKLERG24,Environmental Modelling,Skill,"Creates and uses mathematical models of the environment, either for research purposes, improved understanding of the environmental systems, or to provide interdisciplinary analysis that can inform decision making or policy."
SKLERG01,Oil and Gas drilling,Skill,Understands the process and operations to create holes or wells for oil and natural gas production.
SKLERG03,Energy Industry Knowledge,Skill,"Applies energy industry knowledge appropriately to diverse situations. Understands the industry's trends, directions, major issues, and regulatory considerations of various types of energy, energy production, transmission and distribution."
SKLVET42,Veterinary Dermatology,Skill,"Diagnoses, treats, and manages animal skin conditions (e.g., ears, hair, nails, hooves, and mouth)."
SKLVET43,Veterinary Diagnostic Imaging,Skill,"Produces images of internal body structures for clinical purposes in a veterinary environment. Understands diagnostic imaging techniques, processes, and procedures."
SKLVET44,Veterinary Endoscopy,Skill,Examines an organ or body cavity to gain diagnostic information by inserting a flexible tube with a viewing port and/or video camera attachment.
SKLVET45,Veterinary Epidemiology,Skill,"Studies and analyzes health and disease condition distribution, patterns, and determinants in animal populations."
SKLVET54,Veterinary Microbiology,Skill,Studies microbes that cause diseases in animals.
SKLERG04,Exploration Drilling,Skill,Determines the physical properties and boundaries of a drill site and its capability to produce hydrothermal fluids for power generation.
SKLERG05,Drilling Equipment,Skill,Utilizes specialized drilling equipment for oil and gas drilling and exploration drilling.
SKLERG06,Oil and Gas Industry,Skill,"Applies oil and gas industry knowledge appropriately to diverse situations. Understands the industry's trends, directions, major issues, regulatory considerations, including new technology for harnessing oil and gas."
SKLERG07,Drill Rig Inspections,Skill,Performs drill rig inspections to identify defects that could cause damage. Documents and reports any deficient items.
SKLERG08,Energy Markets,Skill,"Studies, understands and applies knowledge of markets where people trade and provide energy. Applies knowledge of either electrical energy markets or other energy resources."
SKLERG09,Energy Regulations & Compliance,Skill,Understands all local and international legislation governing the energy industry. Keeps abreast with updates and amendments and ensures that policies and procedures are updated accordingly to ensure continued compliance by the organization.
SKLERG10,Green Energy,Skill,"Identifies, generates and utilizes energy from natural resources, such as sunlight, wind or water. Ensures that the generation of energy through these resources don't cause harm to the environment."
SKLERG11,Energy Engineering,Skill,"Designs, creates and implements technologies that are better for the environment and also more efficient in the energy they produce. Works towards obtaining results that are efficient in terms of manufacturing and production, and that are in line with env"
SKLERG12,Energy Auditing,Skill,Conducts an inspection survey and analyzes energy flows to enable energy conservation without negatively affecting outputs.
SKLERG13,Energy Modeling,Skill,Builds computer models of energy systems in order to analyze energy consumption. Uses this information to make energy saving decisions.
SKLERG14,Energy Procurement,Skill,"Requisitions, orders and purchases energy, fuel, gas or electricity from third party energy suppliers or local distribution companies (LDC)."
SKLERG15,Deep-sea Exploration,Skill,"Uses knowledge of oceanography, biology, geography, archeology and engineering to investigate the physical, chemical and biological conditions on the bottom of the ocean for scientific or commercial purposes."
SKLMIN10,Mining Technologies,Skill,"Designs, develops, tests and implements new mining technologies to simplify the mining process and to make it more sustainable. Keeps abreast with the various advances in mining and adjusts processes, technologies and tools accordingly."
SKLMIN11,Cartography,Skill,"Draws a map, cart, or geographical representation of an area."
SKLMIN12,Mining Industry Knowledge,Skill,"Applies mining industry knowledge appropriately to diverse situations. Understands industry trends, directions, major issues, and the regulatory considerations of various mining and mining production types."
SKLVET14,Animal Patient Safety,Skill,"Reduces preventable errors through basics such as hand hygiene, wearing protective clothing, reporting errors, and using animal patient safety checklists. Demonstrates awareness of potential working day safety hazards and strives to minimize such risks."
SKLVET15,Veterinary Software,Skill,"Utilizes veterinary software to help manage the clinical and administrative functions of veterinary practices, hospitals, or clinics. Includes patient records, patient or client history, appointments, and certificates."
