employeeId,skillId,proficiency,yearsOfExperience,lastUsed,certificationStatus
E10000,S504,Expert,15,02-05-2024,Not Certified
E10000,S503,Intermediate,11,14-02-2022,Certified
E10000,S509,Expert,10,09-03-2023,Certified
E10001,S506,Expert,7,07-07-2022,Not Certified
E10001,S502,Beginner,7,24-01-2021,Certified
E10001,S510,Expert,0,24-03-2025,Certified
E10002,S509,Intermediate,14,25-09-2024,Certified
E10002,S502,Intermediate,11,11-03-2025,Certified
E10003,S501,Intermediate,11,29-07-2023,Not Certified
E10003,S510,Intermediate,4,19-11-2022,Not Certified
E10003,S502,Beginner,8,17-06-2023,Not Certified
E10003,S505,Beginner,0,06-12-2022,Certified
E10003,S504,Intermediate,13,30-03-2025,Certified
E10003,S503,Beginner,9,11-05-2022,Certified
E10004,S505,Beginner,8,13-03-2023,Certified
E10004,S508,Intermediate,8,08-01-2024,Certified
E10005,S504,Expert,13,08-09-2023,Certified
E10005,S507,Beginner,8,15-04-2025,Not Certified
E10005,S505,Beginner,0,09-02-2021,Not Certified
E10005,S510,Beginner,9,29-07-2023,Certified
E10005,S508,Expert,5,25-09-2022,Certified
E10006,S510,Intermediate,5,13-04-2021,Certified
E10006,S507,Beginner,1,22-03-2021,Not Certified
E10006,S502,Expert,13,09-03-2024,Certified
E10007,S501,Expert,3,10-08-2024,Certified
E10007,S503,Intermediate,4,25-04-2021,Not Certified
E10008,S506,Intermediate,4,07-05-2024,Not Certified
E10008,S501,Expert,2,08-11-2024,Not Certified
E10008,S503,Beginner,8,21-12-2021,Not Certified
E10008,S504,Intermediate,2,05-12-2021,Certified
E10009,S502,Intermediate,10,10-06-2020,Not Certified
E10010,S509,Beginner,3,01-06-2023,Certified
E10010,S503,Expert,15,20-05-2023,Certified
E10010,S510,Expert,7,07-06-2024,Not Certified
E10010,S505,Expert,5,25-11-2024,Not Certified
E10010,S502,Beginner,1,05-08-2023,Certified
E10010,S508,Intermediate,12,08-08-2025,Certified
E10011,S503,Intermediate,13,14-09-2023,Not Certified
E10011,S510,Beginner,2,08-09-2023,Certified
E10011,S508,Expert,14,13-07-2025,Certified
E10011,S506,Beginner,7,27-01-2021,Not Certified
E10012,S509,Beginner,6,13-11-2022,Not Certified
E10013,S508,Intermediate,11,12-09-2020,Certified
E10013,S501,Expert,10,07-04-2025,Not Certified
E10014,S510,Beginner,8,02-12-2021,Certified
E10014,S505,Expert,0,15-09-2025,Not Certified
E10014,S502,Expert,11,23-07-2023,Not Certified
E10015,S509,Beginner,6,10-09-2020,Not Certified
E10015,S505,Intermediate,9,24-02-2025,Certified
E10015,S510,Beginner,9,12-03-2024,Certified
E10015,S503,Beginner,2,10-12-2024,Not Certified
E10015,S506,Beginner,3,18-10-2023,Certified
E10015,S507,Expert,1,30-03-2023,Not Certified
E10016,S503,Intermediate,9,24-12-2023,Certified
E10016,S510,Expert,15,05-09-2025,Certified
E10016,S506,Expert,9,09-04-2025,Not Certified
E10016,S501,Beginner,1,05-10-2023,Certified
E10017,S502,Intermediate,0,27-05-2025,Certified
E10018,S508,Beginner,13,12-07-2022,Not Certified
E10018,S501,Expert,15,29-08-2023,Certified
E10019,S505,Expert,8,12-12-2020,Certified
